id,name,houseLink,pictureurl,area,road,year,totlefloor,floor,lfloors,size,room,hall,bath,totalprice,type,lands,blan,parking
1636,忠孝捷運美景新邸,https://buy.yungching.com.tw/house/4737067,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCu37oDxmfbrjbR2ZjrCKKwVTZG20PTGw_djZ8YslrCuLrG_-2Px3-DPqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,信義區,忠孝東路五段,5.6,11.0,10 , 10,32.9,2.0,1.0,1.0,3680,住宅大樓,4.44,12.6,(含車位12.52坪)
1637,忠誠邊間大頂加,https://buy.yungching.com.tw/house/4737108,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsyssM1EJCMurpdpyfUk-6nj_1tAkQmgDiqDVAAcyG9NTXzY4LtpSgJqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,士林區,忠誠路二段,43.1,4.0,4 , 4,35.04,4.0,3.0,3.0,2080,公寓,12.33,31.01,
1638,捷運人潮店面,https://buy.yungching.com.tw/house/4737152,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtyDYpe51MDEiRwSO8MYY5ubELrUOrhyggysVO3nSoY4DaF8tL4PnDGqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQvB8Vygy1X-C52Ppsu05QEugw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,文山區,興隆路三段,24.4,11.0,1 , 2,94.47,1.0,2.0,1.0,14800,店面,25.96,54.19,(含車位)
1639,六六紅樓庭院別墅,https://buy.yungching.com.tw/house/4737214,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsovhEPtK9jXIF2_tZDjEsHNDm2miPfWcOLq7cC9OsmDyPfSjOi2CiAqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,文山區,萬美街一段,9.2,3.0,B1 , 3,98.75,4.0,2.0,4.0,6500,透天厝,111.52,84.41,
1640,力麒麒御面樹豪邸,https://buy.yungching.com.tw/house/4737242,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCu3H9tYaH9uovt1d5jqH3H7cushxXfUKiJuhk8mA_IHU6G6lagejw0lqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,中正區,牯嶺街,7.1,19.0,3 , 3,144.57,0.0,1.0,2.0,12513,住宅大樓,13.76,77.47,(含車位23.01坪)
1641,時尚典雅美景雅築,https://buy.yungching.com.tw/house/4737271,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCss5bAVVyFTJhBCwXQl-RUSA3MNrF1wrQCKr9lW3NOMllHZzLtn_TtFqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,南港區,園區街,11.8,14.0,13 , 13,56.16,3.0,2.0,2.0,3758,住宅大樓,7.47,22.07,(含車位17.12坪)
1642,久康青沺二房車位,https://buy.yungching.com.tw/house/4737404,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtMec5-lnCB_2sCriiMWpWcCyZPGjxReaq5ddYVctpOqxb6EcixEtGUqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQOerGW0pNKhOBor3t2Wdcdsohgr466lsI4410yCnS-aUpeVeidSmPyiRo7k2t0M4h&width=480&height=0,文山區,,0.0,12.0,6 , 6,30.7,2.0,2.0,1.0,2180,住宅大樓,4.75,17.84,(含車位)
1643,鋼骨捷運便利套房,https://buy.yungching.com.tw/house/4737439,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvu9f0LHl6bqUQiL2g79Lz5EqNV4l_oCzMRElScfn6kT2tRlQYP87SBqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,萬華區,康定路,4.9,26.0,18 , 18,15.75,1.0,1.0,1.0,1100,住宅大樓,1.07,8.35,
1644,政大電梯別墅賞,https://buy.yungching.com.tw/house/4737686,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvZe5h2xijJXXpDAhjy8eHLdRCFeGs2qB1KlyfdH9fOj0JbsPAPsXnSqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,文山區,政大二街,18.6,4.0,B1 , 4,113.9,12.0,2.0,4.0,5988,透天厝,40.12,82.38,(含車位19.59坪)
1645,榮耀世紀高樓四房,https://buy.yungching.com.tw/house/4737700,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtvbr5fZ4r1pRCHlMTwfCyiS2Pqhu0PxM3ptq9hfgO9G7T5Zwk8EpqYqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,內湖區,星雲街,16.2,14.0,11 , 11,64.09,4.0,2.0,2.0,5980,住宅大樓,8.75,37.19,(含車位8.48坪)
1646,中山晶華電梯透天,https://buy.yungching.com.tw/house/4737817,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsM9wGHhIDVBJSYHgezmYIua2BJXIhi0xLlxjWRn047Dwejvgno12W3qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,中山區,長春路,60.3,4.0,1 , 4,121.97,0.0,0.0,4.0,22000,透天厝,33.88,121.97,
1647,遠雄山綺面湖景,https://buy.yungching.com.tw/house/4737878,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCuWe-7nej3LtHuE5BB4fS3xW1Yz6eE-lrHOhZlP6DC3OqUesCaZvAB6qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQ7B1phpHz8Gf1IwmTkNi-8egw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,北投區,三合街一段,4.7,9.0,2 , 2,124.61,3.0,2.0,3.5,7880,華廈,18.22,51.75,(含車位37.61坪)
1648,內湖店辦庭院戶,https://buy.yungching.com.tw/house/4737877,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvPnqQo68BGBzcxQNVJVGOkVAUAxTCHDP4oPtTZNg-s9c_u6PoweSl4qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,內湖區,安泰街,24.1,8.0,1 , 1,23.85,3.0,1.0,2.0,1680,華廈,6.85,17.73,
1649,莊敬路人潮金店,https://buy.yungching.com.tw/house/4737930,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCs4j67CMwzJKKi-Bk4NR5Dmr5DxfevsLZ0f6UUZg3sY0b1B_1ICrsdTqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,信義區,莊敬路,48.4,4.0,1 , 2,47.92,4.0,3.0,2.0,7500,店面,16.49,47.92,
1650,象山方正採光華廈,https://buy.yungching.com.tw/house/4737951,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCu9JqYgKBbBqgl8VWqWoUQTEv06vm_c4Dm_64X2NlC8yHY37otBipjQqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQvB8Vygy1X-C52Ppsu05QEugw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,信義區,松德路,39.0,7.0,7 , 7,29.97,2.0,2.0,1.0,2150,華廈,4.98,18.76,
1651,大空間花園美寓,https://buy.yungching.com.tw/house/4738009,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCuxqoiJqB6y29z8X6l09MNi0GK0uJhPTTXbnF51bS7AoJhaDkzcM0n2qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,萬華區,萬大路,34.4,5.0,5 , 5,31.85,4.0,3.0,1.0,1680,公寓,9.9,26.56,
1652,鑽石辦公可掛招牌,https://buy.yungching.com.tw/house/4738148,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvQ5kJ9gL5wtifc53FFfFXValRf0kYz1L8ygzZ_Pbmq8eWNC7ftpvs8qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,中山區,民生東路一段,35.6,12.0,2 , 2,91.34,0.0,2.0,1.5,5800,辦公商業大樓,8.74,66.13,
1653,四季紅中庭景觀居,https://buy.yungching.com.tw/house/4738212,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtB5E12ykEAzSuYEAR-gXlmdHVMz8r-lBNC1kzqeGug5PSlmQ-4j85pqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,南港區,園區街,9.9,12.0,2 , 2,50.32,3.0,2.0,2.0,3680,住宅大樓,6.63,24.43,(含車位10.25坪)
1654,千坪公園頂客帝景,https://buy.yungching.com.tw/house/4738293,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvCO3VrtxcRLa5ZEGdL4mO0tgMt3bNDqXK9YHpKbs5JQ4zBn9C88kcAqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,內湖區,民權東路六段,23.5,11.0,8 , 9,28.56,1.0,2.0,2.0,2380,住宅大樓,6.36,12.11,(含車位)
1655,莎士比亞挑高美邸,https://buy.yungching.com.tw/house/4738344,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCu4eNYa5Kg7Vn6zBnBl_qyp5V8w15YERDPTjcmLp-lpAeWpX3RU07nBqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,大安區,建國南路二段,32.1,25.0,1 , 1,48.86,3.0,2.0,2.0,6160,辦公商業大樓,5.13,41.17,
1656,中正美寓3房陽台,https://buy.yungching.com.tw/house/4738593,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsB52otAOZf3kU_FmRM_4-AoUvtXgDINnnsngnC3jbo2qS1NzFzJYCSqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,中正區,重慶南路三段,45.1,4.0,2 , 2,29.99,3.0,2.0,1.0,1980,公寓,9.68,29.99,
1657,水鋼琴質感五房,https://buy.yungching.com.tw/house/4738645,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCv2p4seyARYRFPc0kjbvBHU6m9eodPfoacYbHjtxVLhaaj0GLUaHIF5qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,文山區,指南路三段,21.6,12.0,10 , 10,85.8,5.0,2.0,3.0,3080,住宅大樓,19.36,48.06,(含車位21.53坪)
1658,低總價3房+車位,https://buy.yungching.com.tw/house/4738674,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtQaLVWR3ne4IwWyk20a5vx2EC9Lo3NTx_zliS5RIS9k_h5670kFxvFqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQ7B1phpHz8Gf1IwmTkNi-8egw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,中山區,中山北路二段,21.4,16.0,2 , 2,41.08,3.0,2.0,1.0,2480,住宅大樓,2.06,25.35,(含車位5.57坪)
1659,石牌黃金邊間三樓,https://buy.yungching.com.tw/house/4738692,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCuKVPVL_S9zHrhus1PbY6gL0Sv7_kiwMuzh7nvwlPkhmh5Xi0fsuGzAqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQvB8Vygy1X-C52Ppsu05QEugw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,北投區,西安街二段,36.5,5.0,3 , 3,27.92,3.0,2.0,1.0,1680,公寓,7.41,23.24,
1660,政大附中面山別墅,https://buy.yungching.com.tw/house/4738734,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvk7GXOf_p14lhdN8w_k5z5jF7njjtc-buoNZkCM6ITaBCKEKS_HiXDqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,文山區,政大一街,15.2,4.0,B1 , 4,95.24,5.0,2.0,3.0,5200,透天厝,46.86,84.01,
1661,獨立門廳有院子,https://buy.yungching.com.tw/house/4738802,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsJQyvWAXzFasDn0gNApwC-iqG1V1kpbAoDnRJTB-BMMEWi8_9H-EJNqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,士林區,天玉街,25.7,8.0,B1 , B1,28.18,0.0,1.0,1.0,1688,華廈,9.29,22.41,
1662,政大新婚溫馨套房,https://buy.yungching.com.tw/house/4738826,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvHCqkvKdvbAq02P2h86G_I_zYCID62tMq2uePJimXEVUWe-73gkhiKqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,文山區,指南路三段,12.8,10.0,2 , 2,13.83,1.0,0.0,1.0,858,套房,3.78,9.24,
1663,南京復興景觀三房,https://buy.yungching.com.tw/house/4738825,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCuL9011wMv4BAnESUlEHCu-ejcVXoDX5ARZPHMFq7Sh4qCuR7B9q9_gqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,松山區,民生東路三段,38.6,7.0,7 , 7,42.64,3.0,2.0,2.0,4288,華廈,8.49,38.2,
1664,西門小南門金店面,https://buy.yungching.com.tw/house/4739040,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvfxFqzZhiVRMapCop9wGMYNDZA2li2y7Fmqsj9euQSKRw7WFWqo9RxqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,中正區,中華路一段,8.6,14.0,1 , 1,39.07,0.0,1.0,1.0,6800,店面,2.79,20.19,(含車位4.32坪)
1665,稀有包廂大一樓,https://buy.yungching.com.tw/house/4739207,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtY0UqMcIyt7THa7BbnyKM23TNo9_RE602DXjjfLeES-zmpKsGB0018qVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,文山區,福興路,24.8,6.0,1 , 1,29.37,8.0,2.0,3.0,2780,華廈,8.21,15.7,(含車位)
1666,高投報收租之霸,https://buy.yungching.com.tw/house/4739227,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCv32uEJsfdmVonYhBBVTtyAa0lQR58WKc_BxrIP5zJWEwTgFZ8REcysqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,大同區,大龍街,40.2,5.0,5 , 5,45.07,10.0,2.0,9.0,2880,公寓,13.13,39.77,
1667,文創管理三房坡平,https://buy.yungching.com.tw/house/4739260,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvHMFJZW9s-sS1DGpNI5xrJhdrUgOEtT6cZEN602g-6E2aFwGAss6MsqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQvB8Vygy1X-C52Ppsu05QEugw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,信義區,忠孝東路四段,33.5,6.0,3 , 3,51.21,3.0,2.0,2.0,4500,華廈,9.93,29.27,(含車位13.85坪)
1668,公園樹海精品美居,https://buy.yungching.com.tw/house/4739286,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCsuoEZCCwMdfke-R9y6jdqB9ALgoZk2ephLmy_rY3tm7UyD-2CK7-LcqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,信義區,永吉路,10.8,12.0,3 , 3,31.44,2.0,2.0,1.0,3480,住宅大樓,5.64,15.09,(含車位2.97坪)
1669,西門捷運公園電梯,https://buy.yungching.com.tw/house/4739322,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCtnBm9x6dT5D3GbUhZhxYEHmtcGcMlM7kEbTGZamL4W7xvOWYhXdVDgqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RKluDB4vs3XCba78wTuCNPINc3dOPPQMQruh-Gt23mTzaYgmqa__ngegw_kxkxkdM5Y2LgriectG9txh5JQn0mw&width=480&height=0,萬華區,康定路,38.0,10.0,6 , 6,33.86,5.0,0.0,5.0,1588,辦公商業大樓,3.89,20.71,
1670,芝山萬象高樓層,https://buy.yungching.com.tw/house/4739429,https://fps.hfcdn.com/v1/image/?key=NF58Ko5oaCvzW8loBhaP5H1NCrGn62-CEezoh9CI8hJu_I9egaQwTK1lidwNntBrqVhtUUJ4lA_cF1mBh5MY1RWd5eEaa7mn9qxu8f6s-rtKfVoBsurTgAnsNQ3b1ueVa0jD0JJgeWt02Xc92Hgeax9ptXAdU5ZuHyqQdxAoaDgB84hAAJBJ-aPJnP6QjjHNJdO-8s9VPXXQ_ruSEFqcK8ShYsvown2RbJENeZqhwTM&width=480&height=0,士林區,德行西路,12.8,13.0,9 , 9,14.26,1.0,2.0,1.0,1488,辦公商業大樓,2.81,7.62,
